,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
1,GroupE,6,Channel,T4,194.0,Check Point,0.026019999999999998,0.0006770403999999999,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.007019,0.009319,0.023257,-106.18664799999999,38.73335,2759.1212570000002
2,GroupE,6,Channel,DT1,15.0,Check Point,0.029491000000000003,0.0008697190810000002,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.006773,0.014309,0.024881999999999998,-106.183008,38.730469,2670.860882
6,GroupE,6,Channel,DT5,209.0,Check Point,0.054678,0.002989683684,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.00745,-0.005559000000000001,0.053882000000000006,-106.185148,38.733289,2792.925882
7,GroupE,6,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
8,GroupE,6,Channel,RD2,14.0,Check Point,0.046576,0.002169323776,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.011153,0.013238,-0.04324,-106.185627,38.735309,3038.05976
9,GroupE,6,Channel,RD3,56.0,Check Point,0.029648,0.000879003904,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.013897,-0.00195,-0.026116000000000004,-106.187577,38.736354999999996,3028.431884
0,GroupE,6,Channel,T3,217.0,Control Point,0.018691,0.000349353481,1.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.012909,0.011523,0.007065000000000001,-106.186826,38.733321999999994,2763.758065
3,GroupE,6,Channel,DT2,81.0,Control Point,0.025807,0.000666001249,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.024278,0.003367,0.008076999999999999,-106.183741,38.730512,2658.790077
4,GroupE,6,Channel,DT3,153.0,Control Point,0.03603,0.0012981609,1.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.004496,-0.019816,-0.029754000000000003,-106.184471,38.731238,2683.148246
5,GroupE,6,Channel,DT4,239.0,Control Point,0.032567,0.001060609489,1.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.011196,0.007564,0.029632,-106.185428,38.732221,2711.976632
